sample_id,source_title,page_id,line_id,image_url,ocr_engine,ocr_text,clean_text,notes
real_046_008,Ukraina Russia Turkey,page_046,line_008,local,tesseract_ara_eng_psm6,‏خادملرينك‎ cele ‏طرفدنده ايلك‎ So S ‏كتير مكده اولدقارى‎,اولدقاری کی دیكر طرفدنده ايلك جماعت خادملرينك بوتون نظرلری،,auto starter alignment from Wikisource transcription and Tesseract OCR; quick manual pass recommended
real_046_009,Ukraina Russia Turkey,page_046,line_009,local,tesseract_ara_eng_psm6,cde Sol ‏روسلاشينه ستدداوناران واوثر ابنانك‎ ¢ CL Oss,روسلاشمغه مستعداولمايان واوقراينانك اسكى مدنیت ملیەسنی,auto starter alignment from Wikisource transcription and Tesseract OCR; quick manual pass recommended
real_046_010,Ukraina Russia Turkey,page_046,line_010,local,tesseract_ara_eng_psm6,. ‏مامه سنى سنلهسلده محافظه ابدن خلقه معطوف ابدى‎,سینه سنده محافظه ایدن خلقه معطوف ایدی.,auto starter alignment from Wikisource transcription and Tesseract OCR; quick manual pass recommended
real_047_001,Ukraina Russia Turkey,page_047,line_001,local,tesseract_ara_eng_psm6,cole ‏اوقراينانك اك اس شاع لرى ابوان فراتقونبى ودها بر بلوك‎,اوقراينانك اك اسكى شاعرلری ایوان فرانقویی ودها بر بلوك,auto starter alignment from Wikisource transcription and Tesseract OCR; quick manual pass recommended
real_047_002,Ukraina Russia Turkey,page_047,line_002,local,tesseract_ara_eng_psm6,. ‏شد بر مشدر‎ OPV oe ‏عا مرق‎,جماعت خادملرنی حاضر لا يوب بتشدير مشدر.,auto starter alignment from Wikisource transcription and Tesseract OCR; quick manual pass recommended
real_047_003,Ukraina Russia Turkey,page_047,line_003,local,tesseract_ara_eng_psm6,لامادن ‎dialer Je VAR‏ ادبياتو ‎ile‏ تعسهده اسكلردن,١٨٧٠ دن١٨٩٠ سنەلرینه قادار ادبیات و صنایع نفیسەده اسکیلردن,auto starter alignment from Wikisource transcription and Tesseract OCR; quick manual pass recommended
real_047_004,Ukraina Russia Turkey,page_047,line_004,local,tesseract_ara_eng_psm6,رودانسىء» ‎(Sab gl s‏ ويكاردن صامى أنقوء ‎Leal‏ اوقرايسقا ‎SF‏,رودانسکی، غرابوفسكى، ويكيلردن صامی لنقو، لەسيا اوقرابينسقا کی,auto starter alignment from Wikisource transcription and Tesseract OCR; quick manual pass recommended
real_047_005,Ukraina Russia Turkey,page_047,line_005,local,tesseract_ara_eng_psm6,‏بر حوق ‎‘Seas Pol ba lates . SA jek‏ انوان,بر چوق شاعرلر يتيشمشـدر. رومانجیلردن مارقو ووچکی، ایوان,auto starter alignment from Wikisource transcription and Tesseract OCR; quick manual pass recommended
real_047_006,Ukraina Russia Turkey,page_047,line_006,local,tesseract_ara_eng_psm6,‎Sud od‏ واولغا ‎deol SILL‏ ذكره شاباندرلر. او دورهده,لدويتسكى واولغا قوبيليانسقا کی ادیبلر ذكره شاياندرلر. او دورەده,auto starter alignment from Wikisource transcription and Tesseract OCR; quick manual pass recommended
real_047_007,Ukraina Russia Turkey,page_047,line_007,local,tesseract_ara_eng_psm6,بر قاج قومبوزيتور دخى إشش.شدر . يونوك بر شهرته مالك بولونان,بر قاچ قومپوزیتور دخى يتشمشدر. بويوك بر شهرته مالك بولونان,auto starter alignment from Wikisource transcription and Tesseract OCR; quick manual pass recommended
real_047_008,Ukraina Russia Turkey,page_047,line_008,local,tesseract_ara_eng_psm6,( سقولالمصهنقو ( بونلرمانندهدر. موىالبكاوقرابناموسةسندهى,(ميقولالی صەنقو) بونلر میاننده در. مومى اليهك اوقراينا موسيقيسندەكی,auto starter alignment from Wikisource transcription and Tesseract OCR; quick manual pass recommended
real_047_009,Ukraina Russia Turkey,page_047,line_009,local,tesseract_ara_eng_psm6,موقى » شهوجةقونك ‎Gy Shel‏ معادلدر . ‎eed)‏ (,موقعی، شەوچەنقونك ادبياتدەكى موقعنه معادلدر. (لى صەنقو),auto starter alignment from Wikisource transcription and Tesseract OCR; quick manual pass recommended
real_047_010,Ukraina Russia Turkey,page_047,line_010,local,tesseract_ara_eng_psm6,اوقراينا ‎GLI‏ اوزره بر قاج اويرا تريب اممشدر .,اوقراینا لسانی اوزره بر قاچ اوپرا ترتیب ایتمشدر.,auto starter alignment from Wikisource transcription and Tesseract OCR; quick manual pass recommended
real_051_001,Ukraina Russia Turkey,page_051,line_001,local,tesseract_ara_eng_psm6,‎JULI 3‏ صوك سندارده الده ابتدكلرى ‎Sidi ys‏ مدنيهبى,اوقايناليلرك صوك سنەلرده ألده ابتدکلری موفقیات مدنیەيی,auto starter alignment from Wikisource transcription and Tesseract OCR; quick manual pass recommended
real_051_002,Ukraina Russia Turkey,page_051,line_002,local,tesseract_ara_eng_psm6,مختصر بر صورتده اولسون تصوير اندوسليك امحون ‎AS 5S‏,مختصر بر صورتده اولسون تصوير ايده بيلمك ايچون يالكز كييف,auto starter alignment from Wikisource transcription and Tesseract OCR; quick manual pass recommended
real_051_003,Ukraina Russia Turkey,page_051,line_003,local,tesseract_ara_eng_psm6,شبرنده» ‎OLS‏ طبع ونشريه اشتغال ‎sal‏ درت ‎dey‏ اوقراينا,شهرنده، کتاب طبع ونشريله اشتغال ایدر درت بويوك اوقراينا,auto starter alignment from Wikisource transcription and Tesseract OCR; quick manual pass recommended
real_051_004,Ukraina Russia Turkey,page_051,line_004,local,tesseract_ara_eng_psm6,‎see‏ موجود ‎gual y‏ ذكر الك كاقيدر. ‎By‏ بيك ‎mip‏,تجارتخانەسی موجود بولنديغنى ذكر ايتمك كافيدر. بونلر پك سريع,auto starter alignment from Wikisource transcription and Tesseract OCR; quick manual pass recommended
real_051_005,Ukraina Russia Turkey,page_051,line_005,local,tesseract_ara_eng_psm6,‏بر صورتدءترق ‎wel‏ ويك بوبوكمعاملات تجاريه اجر|الكدهدرار.,بر صورتده ترقی ايتمكده ويك بويوك معاملات تجاريه اجرا ایلمکدەدرلر.,auto starter alignment from Wikisource transcription and Tesseract OCR; quick manual pass recommended
real_051_006,Ukraina Russia Turkey,page_051,line_006,local,tesseract_ara_eng_psm6,اوقراما ‎ea‏ خاد ‎a‏ بدن مع )¢ 5 ‎Sutera se‏ ( يله سابق ‎as‏,اوقراينا جماعت خادملرندن معلم (م . غروشەفسکی) ایله سابق قرەدكز,auto starter alignment from Wikisource transcription and Tesseract OCR; quick manual pass recommended
real_051_007,Ukraina Russia Turkey,page_051,line_007,local,tesseract_ara_eng_psm6,‏دكز فلوسى قوماندانى آميرال ( ارقاس)ك « اوقراينا ‎Fob‏ » نامله,فیلوسی قوماندانی آمیرال (آرقاس) ك «اوقراينا تاریخی» نامیله,auto starter alignment from Wikisource transcription and Tesseract OCR; quick manual pass recommended
real_051_008,Ukraina Russia Turkey,page_051,line_008,local,tesseract_ara_eng_psm6,‎A col wl‏ امش اوادقلرىبش .يوز نهاك ‎We sl Sol‏ زمان,آيری آری نشر ايتمش اولدقلری بش يوز صحفهلك ايکي اثر، آز زمان,auto starter alignment from Wikisource transcription and Tesseract OCR; quick manual pass recommended
real_051_009,Ukraina Russia Turkey,page_051,line_009,local,tesseract_ara_eng_psm6,ظر فده واك زياده ‎ALS‏ اراسئده اولارق قرق سك ‎doen)‏,ظرفنده واك زياده كويليلر آراسنده اولارق فرق بيك نسخه صاتیلمشدر!,auto starter alignment from Wikisource transcription and Tesseract OCR; quick manual pass recommended
real_051_010,Ukraina Russia Turkey,page_051,line_010,local,tesseract_ara_eng_psm6,‎Das‏ بونلردزماعدا نشراولونان ‎Sl Go‏ اوقراينانارخىده,بونلردن ماعدا نشر اولونان دیكر ایکی اوقراینا تاریخی ده,auto starter alignment from Wikisource transcription and Tesseract OCR; quick manual pass recommended
real_051_011,Ukraina Russia Turkey,page_051,line_011,local,tesseract_ara_eng_psm6,بك ‎LS‏ متدارده صاسامشاردر. تحار 4 ‎|r‏ تهدتادار ‎(ve)‏ اوقراسا,پك كليتلى مقدارده صاتيامشلردر.,auto starter alignment from Wikisource transcription and Tesseract OCR; quick manual pass recommended
real_052_001,Ukraina Russia Turkey,page_052,line_001,local,tesseract_ara_eng_psm6,كوجوك اعتبار مالى ‎Ce‏ امحاديهسئ » لى ذكر انك لازمدر .,كوچوك اعتبار مالی جمعیت اتحادیەسی» في ذكر ايتمك لازمدر.,auto starter alignment from Wikisource transcription and Tesseract OCR; quick manual pass recommended
real_052_002,Ukraina Russia Turkey,page_052,line_002,local,tesseract_ara_eng_psm6,اوقراينا ‎Gh)‏ اوزره ‎Gl‏ قوئُوراتيف ‎nl cede pF‏ اند لكدةدر.,اوقراينا لسانی اوزره ایکی قوئوپراتیف مجموعەسی نشر ایدیلمکدەدر.,auto starter alignment from Wikisource transcription and Tesseract OCR; quick manual pass recommended
real_052_003,Ukraina Russia Turkey,page_052,line_003,local,tesseract_ara_eng_psm6,بوموفقتارى الده ايده سلمك امحون اوقراسا قوثو راسف ‎Skier‏,بوموفقيتارى ألده ايدەبيلمك ايچون اوقراینا قوئوپراتیف جمعیتلری,auto starter alignment from Wikisource transcription and Tesseract OCR; quick manual pass recommended
real_052_004,Ukraina Russia Turkey,page_052,line_004,local,tesseract_ara_eng_psm6,‏كرك ‎bake‏ 7 وكرك ‎Che Se‏ موسقوق ‎in eh Cally 9 gd‏,كرك حكومت، وكرك حكومتك موسقوف قوئوپراتيف جمعتلرینه,auto starter alignment from Wikisource transcription and Tesseract OCR; quick manual pass recommended
real_052_005,Ukraina Russia Turkey,page_052,line_005,local,tesseract_ara_eng_psm6,‎Guus‏ اولديتى امتاز طرفندن اماع ابديلن مشكلاتياه اوغاشمق,ويرمش اولدیغی امتیاز طرفندن ايقاع ايديلن مشكلاتيله اوغراشمق,auto starter alignment from Wikisource transcription and Tesseract OCR; quick manual pass recommended
real_052_006,Ukraina Russia Turkey,page_052,line_006,local,tesseract_ara_eng_psm6,‎orto =‏ قااشاردر .,مجبوريتده قالمشلردر.,auto starter alignment from Wikisource transcription and Tesseract OCR; quick manual pass recommended
real_052_007,Ukraina Russia Turkey,page_052,line_007,local,tesseract_ara_eng_psm6,اوقراسنانك اشاهنده يك ‎dye‏ رول اوسامش اولان اوقرابنا,اوقراينانك انتباهنده پك بويوك رول اوينامش اولان اوقراینا,auto starter alignment from Wikisource transcription and Tesseract OCR; quick manual pass recommended
real_052_008,Ukraina Russia Turkey,page_052,line_008,local,tesseract_ara_eng_psm6,‎des TE‏ ذ كرىده اقتضا ‎oa)‏ . مذ كور تباترولرده ملى اثراردن,تياتروسنك ذكرى ده اقتضا ايدر. مذكور تياترولرده ملى أثرلردن,auto starter alignment from Wikisource transcription and Tesseract OCR; quick manual pass recommended
real_052_009,Ukraina Russia Turkey,page_052,line_009,local,tesseract_ara_eng_psm6,‎basal 3 ach‏ اد ‎wes aul nk al ary oan‏ اوسا ‎protic‏ :,باشقا، آوروپا ادبیاتندن ترجمه ایدیلمش اثرلر دخی اوینانمقدەدر.,auto starter alignment from Wikisource transcription and Tesseract OCR; quick manual pass recommended
real_053_001,Ukraina Russia Turkey,page_053,line_001,local,tesseract_ara_eng_psm6,صوك سلدارده اوقرايناللر ‎Ob Crab‏ برقاج ‎ees dey‏,صوك سنەلرده اوقرايناليلر طرفدن باپیلان برقاچ بويوك ومهيج,auto starter alignment from Wikisource transcription and Tesseract OCR; quick manual pass recommended
real_053_002,Ukraina Russia Turkey,page_053,line_002,local,tesseract_ara_eng_psm6,عايشارى نظر دقته المق كافدر ‎de Sil.‏ اول كفده وفات ابدن,نمایشلری نظر دقته آلمق کافیدر. ایکی سنه اول، کیفده وفات ایدن,auto starter alignment from Wikisource transcription and Tesseract OCR; quick manual pass recommended
real_053_003,Ukraina Russia Turkey,page_053,line_003,local,tesseract_ara_eng_psm6,اوقراسانك خلق اراسنده اك معروف صاييلان قوصوزيتورى,اوقراينانك خلق آراسنده اك معروف صايیلان قومیوزیتوری,auto starter alignment from Wikisource transcription and Tesseract OCR; quick manual pass recommended
real_053_004,Ukraina Russia Turkey,page_053,line_004,local,tesseract_ara_eng_psm6,"( لصهنقو ) نك هراسم ‎ALT ) 5٠٠,٠٠٠ ( dW‏ برجم غفير","(ليصەنقو)نك مراسم تدفينيەسنه (٢٠٠,٠٠٠) كشيلك برحم غفير",auto starter alignment from Wikisource transcription and Tesseract OCR; quick manual pass recommended
real_053_005,Ukraina Russia Turkey,page_053,line_005,local,tesseract_ara_eng_psm6,اشتراك العغشدى . حلتكلرده بازيلى اولان وطبيرورانهحمادار اوقراينا,اشتراك ايتمشدى. چلنکلرده یازیلی اولان وطنپرورانه حملەلر اوقراينا,auto starter alignment from Wikisource transcription and Tesseract OCR; quick manual pass recommended
real_053_006,Ukraina Russia Turkey,page_053,line_006,local,tesseract_ara_eng_psm6,"‎be‏ دنكق حاوى ‎Nabe‏ قوردهلالر, بر حوق ‎Pear Ole‏",ملی رنكنی حاوي بولونان قوردەلالر، بر چوق هیئات مرخصەلر,auto starter alignment from Wikisource transcription and Tesseract OCR; quick manual pass recommended
real_053_007,Ukraina Russia Turkey,page_053,line_007,local,tesseract_ara_eng_psm6,ومتوفانك مزارى ا وكنده ‎Mabel Gh ye‏ بومايشه ‎She les‏ برماهصت,ومتوفانك مزاری اوکنده سویلنن نطقلر، بونمایشه دها مؤثر بر ماهیت,auto starter alignment from Wikisource transcription and Tesseract OCR; quick manual pass recommended
real_053_008,Ukraina Russia Turkey,page_053,line_008,local,tesseract_ara_eng_psm6,‎Spo dap pole gate‏ نونك شحهسىاولار ق كيف والسى حكومت,مليه و سیاسیه و بر مشلردرکه بونك نتيجەسی اولارق كييف واليسی حکومت,auto starter alignment from Wikisource transcription and Tesseract OCR; quick manual pass recommended
real_053_009,Ukraina Russia Turkey,page_053,line_009,local,tesseract_ara_eng_psm6,‎gas pb‏ تيديل اند أشدي. بودن بوسنه سكرء مه كبقدء وكات إبدن,طرفندن تبدیل ایدیلمیشدی.,auto starter alignment from Wikisource transcription and Tesseract OCR; quick manual pass recommended
real_056_001,Ukraina Russia Turkey,page_056,line_001,local,tesseract_ara_eng_psm6,ete S padils ‏ساركء‎ fon Seg (ate) ‏قسم‎ gS),ایکنجی قسم (دنیەپەر) نهرينك ساحل يسارنده واقعدركه بوقسم,auto starter alignment from Wikisource transcription and Tesseract OCR; quick manual pass recommended
real_056_002,Ukraina Russia Turkey,page_056,line_002,local,tesseract_ara_eng_psm6,. ‏بولتاوا ) » ( حهرنيهوف ) و (خارقوف) أبالتلرنى احتوا ابدر‎ ),(پولتاوا)، (چەرنيهوف) و(خارقوف) أيالتلريني احتوا ايدر.,auto starter alignment from Wikisource transcription and Tesseract OCR; quick manual pass recommended
real_056_003,Ukraina Russia Turkey,page_056,line_003,local,tesseract_ara_eng_psm6,‏ساحليةسنده بوانان جسم اووهاردن‎ “Ue ‏اوجن تسم قره دكز‎,اوچنجی قسم قرەدكز حوالی ساحلیەسنده بوانان جسیم اووەلردن,auto starter alignment from Wikisource transcription and Tesseract OCR; quick manual pass recommended
real_056_004,Ukraina Russia Turkey,page_056,line_004,local,tesseract_ara_eng_psm6,) ‏بونده ( قاتهرينوسلاو ) » ( خرسون ) و ( طوريد‎ Harte,عبارتدركه بونده (قاتەرينوسلاو)، (خرسون) و (طوريد) أيالتلرى موجوددر.,auto starter alignment from Wikisource transcription and Tesseract OCR; quick manual pass recommended
real_056_005,Ukraina Russia Turkey,page_056,line_005,local,tesseract_ara_eng_psm6,. aay ye oS,بوتون بواراضیده ساکن اهالينك مقدار مجموعی (خولم) ایالتی داخلی,auto starter alignment from Wikisource transcription and Tesseract OCR; quick manual pass recommended
